library,sample,date,experiment,antibody,concentration,concentration_units,group,selection,frac_escape,cells_sorted,R1
lib1,expt_97-106-none-0-reference,210211,expt_97-106,none,0,dilution,Moderna,reference,,,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_97-106_lib1_ref_*R1*.fastq.gz
lib2,expt_97-106-none-0-reference,210211,expt_97-106,none,0,dilution,Moderna,reference,,,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_97-106_lib2_ref_*R1*.fastq.gz
lib1,expt_87-96-none-0-reference,210209,expt_87-96,none,0,dilution,Moderna,reference,,,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_87-96_lib1_ref_*R1*.fastq.gz
lib2,expt_87-96-none-0-reference,210209,expt_87-96,none,0,dilution,Moderna,reference,,,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_87-96_lib2_ref_*R1*.fastq.gz
lib1,expt_107-116-none-0-reference,210216,expt_107-116,none,0,dilution,Moderna,reference,,,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_97-106_lib1_ref_*R1*.fastq.gz
lib2,expt_107-116-none-0-reference,210216,expt_107-116,none,0,dilution,Moderna,reference,,,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_97-106_lib2_ref_*R1*.fastq.gz
lib1,expt_101-M01-day-119-80-escape,210211,expt_101,M01-day-119,80,dilution,Moderna,escape,0.047,502680,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_101_lib1_abneg_*R1*.fastq.gz
lib2,expt_101-M01-day-119-80-escape,210211,expt_101,M01-day-119,80,dilution,Moderna,escape,0.035,501251,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_101_lib2_abneg_*R1*.fastq.gz
lib1,expt_88-M02-day-119-200-escape,210209,expt_88,M02-day-119,200,dilution,Moderna,escape,0.048,521308,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_88_lib1_abneg_*R1*.fastq.gz
lib2,expt_88-M02-day-119-200-escape,210209,expt_88,M02-day-119,200,dilution,Moderna,escape,0.045,522281,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_88_lib2_abneg_*R1*.fastq.gz
lib1,expt_87-M02-day-36-1250-escape,210209,expt_87,M02-day-36,1250,dilution,Moderna,escape,0.054,625455,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_87_lib1_abneg_*R1*.fastq.gz
lib2,expt_87-M02-day-36-1250-escape,210209,expt_87,M02-day-36,1250,dilution,Moderna,escape,0.048,540412,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_87_lib2_abneg_*R1*.fastq.gz
lib1,expt_102-M03-day-119-200-escape,210211,expt_102,M03-day-119,200,dilution,Moderna,escape,0.037,425718,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_102_lib1_abneg_*R1*.fastq.gz
lib2,expt_102-M03-day-119-200-escape,210211,expt_102,M03-day-119,200,dilution,Moderna,escape,0.052,516831,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_102_lib2_abneg_*R1*.fastq.gz
lib1,expt_103-M04-day-119-200-escape,210211,expt_103,M04-day-119,200,dilution,Moderna,escape,0.05,501221,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_103_lib1_abneg_*R1*.fastq.gz
lib2,expt_103-M04-day-119-200-escape,210211,expt_103,M04-day-119,200,dilution,Moderna,escape,0.057,493323,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_103_lib2_abneg_*R1*.fastq.gz
lib1,expt_90-M05-day-119-500-escape,210209,expt_90,M05-day-119,500,dilution,Moderna,escape,0.048,579216,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_90_lib1_abneg_*R1*.fastq.gz
lib2,expt_90-M05-day-119-500-escape,210209,expt_90,M05-day-119,500,dilution,Moderna,escape,0.048,592816,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_90_lib2_abneg_*R1*.fastq.gz
lib1,expt_89-M05-day-36-500-escape,210209,expt_89,M05-day-36,500,dilution,Moderna,escape,0.056,548945,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_89_lib1_abneg_*R1*.fastq.gz
lib2,expt_89-M05-day-36-500-escape,210209,expt_89,M05-day-36,500,dilution,Moderna,escape,0.053,601568,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_89_lib2_abneg_*R1*.fastq.gz
lib1,expt_104-M06-day-119-80-escape,210211,expt_104,M06-day-119,80,dilution,Moderna,escape,0.049,502975,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_104_lib1_abneg_*R1*.fastq.gz
lib2,expt_104-M06-day-119-80-escape,210211,expt_104,M06-day-119,80,dilution,Moderna,escape,0.047,522360,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_104_lib2_abneg_*R1*.fastq.gz
lib1,expt_105-M07-day-119-200-escape,210211,expt_105,M07-day-119,200,dilution,Moderna,escape,0.036,501989,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_105_lib1_abneg_*R1*.fastq.gz
lib2,expt_105-M07-day-119-200-escape,210211,expt_105,M07-day-119,200,dilution,Moderna,escape,0.063,460249,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_105_lib2_abneg_*R1*.fastq.gz
lib1,expt_92-M08-day-119-200-escape,210209,expt_92,M08-day-119,200,dilution,Moderna,escape,0.043,315717,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_92_lib1_abneg_*R1*.fastq.gz
lib2,expt_92-M08-day-119-200-escape,210209,expt_92,M08-day-119,200,dilution,Moderna,escape,0.049,378871,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_92_lib2_abneg_*R1*.fastq.gz
lib1,expt_91-M08-day-36-1250-escape,210209,expt_91,M08-day-36,1250,dilution,Moderna,escape,0.053,609532,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_91_lib1_abneg_*R1*.fastq.gz
lib2,expt_91-M08-day-36-1250-escape,210209,expt_91,M08-day-36,1250,dilution,Moderna,escape,0.047,556046,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_91_lib2_abneg_*R1*.fastq.gz
lib1,expt_106-M09-day-119-500-escape,210211,expt_106,M09-day-119,500,dilution,Moderna,escape,0.041,522827,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_106_lib1_abneg_*R1*.fastq.gz
lib2,expt_106-M09-day-119-500-escape,210211,expt_106,M09-day-119,500,dilution,Moderna,escape,0.049,552571,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_106_lib2_abneg_*R1*.fastq.gz
lib1,expt_94-M10-day-119-200-escape,210209,expt_94,M10-day-119,200,dilution,Moderna,escape,0.051,535432,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_94_lib1_abneg_*R1*.fastq.gz
lib2,expt_94-M10-day-119-200-escape,210209,expt_94,M10-day-119,200,dilution,Moderna,escape,0.045,519246,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_94_lib2_abneg_*R1*.fastq.gz
lib1,expt_93-M10-day-36-500-escape,210209,expt_93,M10-day-36,500,dilution,Moderna,escape,0.051,519997,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_93_lib1_abneg_*R1*.fastq.gz
lib2,expt_93-M10-day-36-500-escape,210209,expt_93,M10-day-36,500,dilution,Moderna,escape,0.047,524193,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_93_lib2_abneg_*R1*.fastq.gz
lib1,expt_107-M11-day-119-200-escape,210216,expt_107,M11-day-119,200,dilution,Moderna,escape,0.045,347665,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_107_lib1_abneg_*R1*.fastq.gz
lib2,expt_107-M11-day-119-200-escape,210216,expt_107,M11-day-119,200,dilution,Moderna,escape,0.037,500344,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_107_lib2_abneg_*R1*.fastq.gz
lib1,expt_96-M12-day-119-200-escape,210209,expt_96,M12-day-119,200,dilution,Moderna,escape,0.057,589002,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_96_lib1_abneg_*R1*.fastq.gz
lib2,expt_96-M12-day-119-200-escape,210209,expt_96,M12-day-119,200,dilution,Moderna,escape,0.044,450506,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_96_lib2_abneg_*R1*.fastq.gz
lib1,expt_95-M12-day-36-1250-escape,210209,expt_95,M12-day-36,1250,dilution,Moderna,escape,0.053,577675,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_95_lib1_abneg_*R1*.fastq.gz
