library,sample,date,experiment,antibody,concentration,concentration_units,group,selection,frac_escape,cells_sorted,R1
lib2,expt_95-M12-day-36-1250-escape,210209,expt_95,M12-day-36,1250,dilution,Moderna,escape,0.051,537670,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_95_lib2_abneg_*R1*.fastq.gz
lib1,expt_108-M13-day-119-200-escape,210216,expt_108,M13-day-119,200,dilution,Moderna,escape,0.046,419102,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_108_lib1_abneg_*R1*.fastq.gz
lib2,expt_108-M13-day-119-200-escape,210216,expt_108,M13-day-119,200,dilution,Moderna,escape,0.049,424856,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_108_lib2_abneg_*R1*.fastq.gz
lib1,expt_109-M14-day-119-500-escape,210216,expt_109,M14-day-119,500,dilution,Moderna,escape,0.046,446630,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_109_lib1_abneg_*R1*.fastq.gz
lib2,expt_109-M14-day-119-500-escape,210216,expt_109,M14-day-119,500,dilution,Moderna,escape,0.047,445106,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_109_lib2_abneg_*R1*.fastq.gz
lib1,expt_110-M15-day-119-200-escape,210216,expt_110,M15-day-119,200,dilution,Moderna,escape,0.042,504288,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_110_lib1_abneg_*R1*.fastq.gz
lib2,expt_110-M15-day-119-200-escape,210216,expt_110,M15-day-119,200,dilution,Moderna,escape,0.045,569223,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_110_lib2_abneg_*R1*.fastq.gz
lib1,expt_97-M16-day-119-1250-escape,210211,expt_97,M16-day-119,1250,dilution,Moderna,escape,0.057,503259,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_97_lib1_abneg_*R1*.fastq.gz
lib2,expt_97-M16-day-119-1250-escape,210211,expt_97,M16-day-119,1250,dilution,Moderna,escape,0.033,307344,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_97_lib2_abneg_*R1*.fastq.gz
lib1,expt_98-M17-day-119-200-escape,210211,expt_98,M17-day-119,200,dilution,Moderna,escape,0.047,504504,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_98_lib1_abneg_*R1*.fastq.gz
lib2,expt_98-M17-day-119-200-escape,210211,expt_98,M17-day-119,200,dilution,Moderna,escape,0.052,530852,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_98_lib2_abneg_*R1*.fastq.gz
lib1,expt_99-M18-day-119-80-escape,210211,expt_99,M18-day-119,80,dilution,Moderna,escape,0.051,523542,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_99_lib1_abneg_*R1*.fastq.gz
lib2,expt_99-M18-day-119-80-escape,210211,expt_99,M18-day-119,80,dilution,Moderna,escape,0.043,502793,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_99_lib2_abneg_*R1*.fastq.gz
lib1,expt_100-M19-day-119-200-escape,210211,expt_100,M19-day-119,200,dilution,Moderna,escape,0.05,502940,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_100_lib1_abneg_*R1*.fastq.gz
lib2,expt_100-M19-day-119-200-escape,210211,expt_100,M19-day-119,200,dilution,Moderna,escape,0.047,539350,/shared/ngs/illumina/agreaney/210217_D00300_1179_BHKK3VBCX3/Unaligned/Project_agreaney/expt_100_lib2_abneg_*R1*.fastq.gz
lib1,expt_111-M20-day-119-200-escape,210216,expt_111,M20-day-119,200,dilution,Moderna,escape,0.048,491695,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_111_lib1_abneg_*R1*.fastq.gz
lib2,expt_111-M20-day-119-200-escape,210216,expt_111,M20-day-119,200,dilution,Moderna,escape,0.042,456744,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_111_lib2_abneg_*R1*.fastq.gz
lib1,expt_112-M21-day-119-200-escape,210216,expt_112,M21-day-119,200,dilution,Moderna,escape,0.043,444135,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_112_lib1_abneg_*R1*.fastq.gz
lib2,expt_112-M21-day-119-200-escape,210216,expt_112,M21-day-119,200,dilution,Moderna,escape,0.041,446814,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_112_lib2_abneg_*R1*.fastq.gz
lib1,expt_113-M22-day-119-200-escape,210216,expt_113,M22-day-119,200,dilution,Moderna,escape,0.043,446677,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_113_lib1_abneg_*R1*.fastq.gz
lib2,expt_113-M22-day-119-200-escape,210216,expt_113,M22-day-119,200,dilution,Moderna,escape,0.047,441975,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_113_lib2_abneg_*R1*.fastq.gz
lib1,expt_114-M23-day-119-200-escape,210216,expt_114,M23-day-119,200,dilution,Moderna,escape,0.052,463509,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_114_lib1_abneg_*R1*.fastq.gz
lib2,expt_114-M23-day-119-200-escape,210216,expt_114,M23-day-119,200,dilution,Moderna,escape,0.04,508185,/shared/ngs/illumina/agreaney/210219_D00300_1182_AHKH22BCX3/Unaligned/Project_agreaney/expt_114_lib2_abneg_*R1*.fastq.gz
